"No.","VSL","Service","PORT","VOY","COORD","WEEK","Dep Slot","Arr. Slot","Container","Type","Status","Restow Track","Account","POL","POD","Weight","Line","Stow","Temp C","Imo code","UN","OWR","OWL","OH","OLF ","OLA"," REMARKS"
"1","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340386","380188","MWCU6197588","40WC","FCL","STO LSH","MSK","MVD","ALR","32","MSK","WCQ","-20.0°C","","","","","","","",""
"2","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340986","420284","PONU4995125","40HR","FCL","STO AOS","MSK","MVD","ALR","22.3","MSK",""," -1.0°C","","","","","","","",""
"3","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","341086","420084","MWCU6576200","40WC","FCL","STO AOS","MSK","MVD","ALR","33.1","MSK","WCR"," -2.0°C","","","","","","","",""
"4","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","341186","420082","MWCU6642003","40WC","FCL","STO AOS","MSK","MVD","ALR","27","MSK","WCR"," -1.0°C","","","","","","","",""
"5","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","341286","420282","MSWU0083167","40WC","FCL","STO AOS","MSK","MVD","ALR","27.2","MSK","WCQ"," -1.0°C","","","","","","","",""
"6","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","420486","380488","MSWU0052314","40WC","FCL","STO LSH","MSK","MVD","TBY","26.7","MSK","WCQ"," -1.0°C","","","","","","","",""
"7","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","420686","380688","MWCU5334644","40WC","FCL","STO LSH","MSK","MVD","TBY","26.7","MSK","WCQ"," -1.0°C","","","","","","","",""
"8","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","420786","380588","MWCU6858836","40WC","FCL","STO LSH","MSK","MVD","TBY","26.7","MSK","WCQ"," -1.0°C","","","","","","","",""
"9","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","420886","380388","MWCU6827141","40WC","FCL","STO LSH","MSK","MVD","TBY","27","MSK","WCQ"," -1.0°C","","","","","","","",""
"10","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","20286","100986","MSKU9338334","40HC","FCL","REF PLU","MSK","MVD","SSZ","12.9","MSK","","","","","","","","","",""
